Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PPP,+/-,PIM,EV Goals,PP Goals,SH Goals,GWG,EV Assists,PP Assists,SH Assists,S,S%,ATOI,BLK,HIT,FOW,FOL,FO%
486,Nicolas Hague,21,VEG,D,38,1,10,11,4,0,32,0,1,0,0,7,3,0,54,1.9,16:05,26,69,0,0,
487,Jack Johnson,33,PIT,D,67,3,8,11,0,-1,26,2,0,1,0,8,0,0,63,4.8,19:28,97,183,0,0,
488,Jacob Larsson,22,ANA,D,60,2,9,11,0,-9,12,2,0,0,0,9,0,0,58,3.4,16:09,57,34,0,0,
489,Brendan Leipsic,25,WSH,LW,61,3,8,11,1,3,13,3,0,0,1,7,1,0,49,6.1,9:10,20,57,9,12,42.9
490,Victor Mete,21,MTL,D,51,4,7,11,1,5,20,4,0,0,1,6,1,0,57,7,16:00,60,20,0,0,
491,Colin Miller,27,BUF,D,51,1,10,11,3,-9,22,1,0,0,1,7,3,0,79,1.3,17:08,40,87,0,0,
492,Brad Richardson,34,ARI,C,59,6,5,11,0,1,20,5,0,1,3,4,0,1,76,7.9,13:39,44,77,355,303,54
493,David Savard,29,CBJ,D,68,0,11,11,2,-3,35,0,0,0,0,9,2,0,97,0,20:41,163,129,0,0,
494,Zack Smith,31,CHI,C,50,4,7,11,0,2,29,3,0,1,1,6,0,1,43,9.3,11:47,18,112,88,102,46.3
495,Marc Staal,33,NYR,D,52,2,9,11,0,5,16,2,0,0,0,9,0,0,46,4.3,17:39,76,69,0,0,
496,Dominic Toninato,25,FLA,C,46,4,7,11,0,4,37,4,0,0,0,7,0,0,38,10.5,11:09,28,57,128,144,47.1
497,Austin Wagner,22,LAK,LW,65,6,5,11,0,-5,39,6,0,0,0,5,0,0,124,4.8,11:45,19,145,3,6,33.3
498,Justin Williams,38,CAR,RW,20,8,3,11,3,2,6,6,2,0,2,2,1,0,60,13.3,13:37,7,20,3,7,30
499,Drake Batherson,21,OTT,C,23,3,7,10,6,-12,13,2,1,0,0,2,5,0,32,9.4,15:34,11,51,4,3,57.1
500,Colin Blackwell,26,NSH,C,27,3,7,10,0,7,10,3,0,0,0,7,0,0,31,9.7,10:57,23,43,37,29,56.1
501,Travis Boyd,26,WSH,C,24,3,7,10,1,9,2,3,0,0,0,6,1,0,26,11.5,11:45,9,14,50,69,42
502,Paul Byron,30,MTL,C,29,4,6,10,0,5,4,3,0,1,0,6,0,0,29,13.8,14:20,18,42,1,5,16.7
